mile,time
126,6.903472222222222
118,0.04861111111111111
99.5,0.2847222222222222
97,2.0194444444444444
125.5,2.3583333333333334
124,2.3625
127.8,2.392361111111111
117,4.915972222222222
92,5.563194444444444
124,6.313194444444444
131.1,6.638888888888889
107,0.7069444444444444
101.5,5.559722222222222
121,5.736111111111111
101,5.74375
99,6.9847222222222225
113,1.5097222222222222
108.8,5.5256944444444445
100.4,5.663888888888889
95,6.054166666666666
94,6.110416666666667
104,6.8694444444444445
106,1.68125
98,1.9243055555555557
104,3.754861111111111
101,5.648611111111111
102,5.695833333333333
87,5.749305555555556
121,6.1409722222222225
97,6.749305555555556
88,2.785416666666667
129,3.4381944444444446
121,3.611111111111111
98.9,3.692361111111111
131,3.779861111111111
111,4.310416666666667
110.1,4.704166666666667
108,4.761111111111111
123,6.720833333333333
123.5,1.5944444444444446
87,2.045138888888889
118,2.6645833333333333
128.5,2.8756944444444446
117.5,3.671527777777778
126,4.427777777777778
94,0.39999999999999997
126,1.2743055555555556
127.8,2.490277777777778
118,3.4347222222222222
101.5,4.760416666666667
100.8,5.63125
128,6.352083333333333
136,6.639583333333333
133,0.48680555555555555
102.1,0.8208333333333333
103.3,1.3111111111111111
115,1.3479166666666667
87,2.658333333333333
104,4.643055555555556
123,5.721527777777778
87,6.395833333333333
94,1.0868055555555556
118,1.7013888888888888
132,1.7083333333333335
130.5,1.7590277777777779
131,2.425
116.5,2.501388888888889
130,4.752777777777778
102,5.776388888888889
120,5.970138888888889
127,2.363888888888889
109,2.657638888888889
105,3.917361111111111
128,4.955555555555556
96,5.0125
121,5.7243055555555555
121,5.729861111111111
121,5.7375
120.9,5.738194444444444
121,5.748611111111111
103.9,5.861805555555556
104,0.5208333333333334
88,0.6270833333333333
118,0.9423611111111111
121,3.640972222222222
130,4.496527777777778
124.3,4.74375
107,5.5256944444444445
104,5.538888888888889
102.8,5.717361111111111
112,5.740277777777778
127,6.907638888888889
96,0.579861111111111
98.9,1.3416666666666666
117,1.688888888888889
88,1.7902777777777779
124,0.8527777777777777
